370624.0,6670024.0,375424.0,6673260.0
507434,6713400,514290,6716352
270506,6638124,277362,6641076
416050,6760868,422906,6763820
265350,6789536,272206,6792488
379622,6721932,386478,6724884
506487.0,7046614.0,513343.0,7049566.0
460783.0,6749306.0,467639.0,6752258.0
270655.0,6961910.0,277511.0,6964862.0
431483.0,6900333.0,438339.0,6903285.0
341662.0,6815512,348518.0,6818464
253902.0,6860078.0,260758.0,6863030.0
393583.0,6695692.0,400439.0,6698644.0
323166.0,6802264.0,330022.0,6805216.0
510318.0,6837758.0,517174.0,6840710.0
230402.0,7008846.0,237258.0,7011798.0
604614.0,7046506.0,611470.0,7049458.0
376262.0,6703510.0,383118.0,6706462.0
427782.0,6740062.0,434638.0,6743014.0
391118.0,7126882.0,397974.0,7129834.0
