VALLU_PISTENRO;VALLU_NIMI;DIGISTOPTUNNISTE;X_KOORD;Y_KOORD;KUNTAKOODI
9342;KALANTI;130205;3204415;6757680;895
7055;REILA;130237;3196079;6782399;631
88225;KARPALOTIE (PAIMIO);131206;3264020;6711684;577
9202;MYNSTERI;131335;3228015;6826969;886
17524;KOKEMÄKI KOULUKESKUS;131498;3250456;6803163;271
3589;KULLAA;131607;3242012;6827889;886
9206;SUNNIEMI(ULVILA);131632;3228766;6829755;886
8197;PITKÄJÄRVI;131917;3297939;6734156;761
2931;KISKO;132143;3305646;6686943;734
7610;POIKKO;132148;3219147;6711221;529
9669;VEHMAA;132687;3208933;6742332;918
7062;YLIKYLÄ(PYHÄRANTA);132812;3200561;6769255;631
364;LUVALAHTI;133055;3241944;6786637;050
8555;HUOVINRINNE;133066;3252038;6778220;783
8556;HUOVINRINNE TH;133081;3251983;6776640;783
3591;LEINEPERI;133386;3238716;6824847;886
9201;KRAPISTO;133411;3229496;6824577;886
4273;SIMOLA;133998;3562070;6756327;405
5919;VILJANIEMI;136034;3423690;6749342;560
9519;KARKKU;136349;3289341;6821582;790
86743;SALMI;136355;3296955;6825805;790
84864;LINNAINEN;137047;3339840;6783758;908
1624;MARTTILA;137295;3368907;6745434;165
936;HERRALA (HOLLOLA);137465;3417085;6755011;098
975;PYHÄNIEMI;137513;3417795;6772227;098
85619;KELHI;137969;3343244;6791232;908
4161;PORRASKOSKI;138164;3389734;6794908;109
4859;LAUNONEN;139034;3368375;6740111;433
4881;PEURAN RISTEYS;139041;3353223;6741307;433
722;MONNI KOULU TH;139268;3382187;6731226;086
721;MOMMILA AS;139270;3395656;6747329;086
1630;RASTILA;139408;3368433;6760272;165
968;NOSTAVA;139666;3421420;6760348;098
85955;LIEPEENTIE;143108;3459284;6907013;410
1940;NYRÖLÄ;143735;3421069;6917512;179
8879;PERÄLÄ, MYRKYNTIE, JAATINEN;144196;3221991;6939596;846
1405;NOPANKYLÄ;144367;3258921;6965701;145
4320;HELLANMAA;145096;3289175;6998598;408
9992;SÄÄKSJÄRVI(VIMPELI);145392;3347868;7016739;934
15325;FURUHOLMEN;145455;3290277;7074994;440
6500;KOLPPI;146671;3296840;7064649;599
485;KYTÖKYLÄ;147693;3426594;7113397;071
480;KARHUKANGAS;147807;3424303;7138756;071
102156;SAARELA;148090;3433409;7212477;564
85537;SANGINSUU P;148107;3438011;7208240;564
30128;VAIMOSUON TH;148686;3608028;7335198;305
3802;MÄÄTTÄLÄNVAARA;148704;3614642;7336060;305
102640;RUKA KOULU;148735;3596005;7343095;305
5964;IRVANPERÄ;149535;3388491;7131647;563
5968;MÄYRÄNPERÄ;149566;3404708;7123347;563
9823;LUMIMETSÄ;149610;3415228;7141575;678
7957;MERIKYLÄ;150023;3390716;7191866;748
29270;II, VALTARIN KOULU;150380;3423875;7248235;139
2116;KULUNTALAHTI;150687;3543726;7130838;205
2604;LIEDAKKALA SEURALA;151316;3390294;7309063;241
7758;KURSU;151758;3550687;7408626;732
16157;OLKILUOTO;151927;3203825;6804273;051
15732;VEHMAANKULMA;152320;3302118;6792414;887
5978;HÖNTTÄMÄKI, KUUSAMONTIE;152410;3434353;7218078;564
16121;SKI SAPPEE;152477;3366880;6811280;635
103094;SANTAHOLMA E;153785;3421527;7233119;564
23966;HATTELMALANTIE;153957;3361842;6766553;109
87228;LEIMUNMUTKA;154318;3510875;7049827;140
3202;KIVINIITYNKOULU;155426;3308479;7087821;272
87317;UUS-LAVOLA;156651;3560590;6771332;405
5668;RUSKEEPÄÄ;156985;3312552;6822386;536
9954;SAVILAHTI(VIITASAARI);160232;3441224;6999839;931
200063;VUOKATTI URHEILUOPISTO;160442;3562964;7116195;765
87968;KAUPPATIE;160857;3626233;6852504;740
119474;SILTAKATU/VELJESKYLÄ;161100;3449160;6790578;111
17700;JAAKKOLA(MUURAME);161148;3431398;6891524;500
5320;MUURATSALO;161156;3434941;6890750;179
1916;HAAPANIEMI(JYVÄSKYLÄMLK);161192;3440406;6902152;179
18334;KESKUSTA KEMIJÄRVI;161299;3519270;7402688;320
6486;KYRKOSTRAND;162107;3287524;7069841;598
9326;KUDDNÄS;162131;3278252;7055341;893
201381;SÄÄSTÖKALLIO;162317;3257687;6734595;019
8479;IISVESI;162640;3502158;6951161;778
18448;RÄISÄLÄNTIE;163029;3533602;6997887;749
123992;HERMIA;163279;3332659;6819529;837
121815;KESKUSTORI;163380;3327551;6825369;837
119186;LUKONMÄKI;163457;3332660;6821276;837
105020;TÖÖLÖN TULLI;166152;3384266;6677282;091
4219;KIVITIPPU;169237;3331555;7020451;403
86820;GROP;169567;3307334;6658405;710
3055;KIUKAINEN POHJ.TH;170004;3234315;6799833;050
2197;LAUREENINKALLIO;170624;3340548;6828431;211
484;KORKATTI;171003;3426455;7121230;071
16897;SUURMÄKI;171131;3598042;6938154;090
22513;KÖMINKPA;171227;3270355;6782120;102
87986;IITTALA TH, MOOTTORITIE (LIITTYMÄ 28) POHJOISEEN;171337;3347252;6780007;109
4076;VENETSIA;171548;3426795;6760411;398
46718;PUKARO TH;171586;3459187;6729069;407
87790;ERÄSLAHTI TH;171633;3374492;6847037;562
49849;MYLLY VT. 40;172058;3235833;6718583;680
7611;RYMÄTTYLÄ;172102;3221465;6707127;529
9937;KYMÖNKOSKI;172351;3446797;7001769;931
