VALLU_PISTENRO;VALLU_NIMI;DIGISTOPTUNNISTE;X_KOORD;Y_KOORD;KUNTAKOODI
802;HELSINKI LINJA-AUTOASEMA;186951;3385417;6674925;091
8817;TAMPERE LINJA-AUTOASEMA;164138;3328146;6824896;837
1878;JYVÄSKYLÄ MATKAKESKUS;186632;3435455;6904705;179
3613;KUOPIO;156210;3534672;6977374;297
1650;JOENSUU KESKUSTA;115159;3641955;6946983;167
1648;JOENSUU LINJA-AUTOASEMA;23556;3642761;6947109;167
15002;PORVOO LINJA-AUTOASEMA;115672;3426524;6698765;638
87696;JOENSUU KESKUSTA;181529;3642061;6947076;167
4057;LAHTI LINJA-AUTOASEMA;29811;3427098;6764656;398
7991;SIILINJÄRVI;24508;3533453;6997082;749
9025;TURKU LINJA-AUTOASEMA;115891;3239897;6714490;853
15430;OULU LINJA-AUTOASEMA;74396;3428653;7213337;564
1214;IISALMI;53315;3509540;7050560;140
101650;SEINÄJOKI;115458;3288209;6972075;743
9395;VAASA MATKAKESKUS;186097;3228767;7010747;905
16634;KAJAANI, LINJA-AUTOASEMA;102797;3535580;7124923;205
18981;HÄMEENLINNA LINJA-AUTOASEMA;32986;3363096;6767743;109
46246;PÄIVÄRANNANRAMPPI ETELÄÄN;156314;3533974;6981355;297
7431;ROVANIEMI LINJA-AUTOASEMA;37801;3442961;7379158;698
7793;SALO LINJA-AUTOASEMA;38011;3286370;6703570;734
87766;MIKKELIN MATKAKESKUS;181608;3514831;6842213;491
46245;PÄIVÄRANNANRAMPPI POHJOISEEN;183125;3534144;6981379;297
87713;VUORELANRAMPPI ETELÄÄN;183137;3535910;6985590;749
7887;SAVONLINNA;38139;3598719;6864016;740
87704;MOOTTORITIE KUOPIO POHJOINEN;181466;3535059;6978809;297
3648;SORSASALONRAMPPI ETELÄÄN;74233;3535179;6984191;297
87752;VUORELANRAMPPI POHJOISEEN;179158;3535986;6985576;749
87719;SORSASALONRAMPPI POHJOISEEN;173202;3535216;6984000;297
1657;NOLJAKKA;23673;3638736;6949873;167
4733;LOHJA;27277;3337551;6685489;444
18718;KUOPIO YLIOPISTOLLINEN SAIRAALA;155909;3533111;6977032;297
2586;KEMI LAS;185728;3388709;7295759;240
7435;ROVANIEMI RAUTATIEASEMA;157999;3442535;7379188;698
549;HAMINA;29083;3510460;6717610;075
9866;NUMMELA(VIHTI);53805;3352580;6694180;927
3204;KOKKOLA;155386;3309722;7087434;272
9573;VARKAUS KESKUSLIIKENNEASEMA;117413;3545560;6912130;915
1164;RAUTATIEASEMA 1;154135;3363783;6768442;109
16997;KUUSAMO LINJA-AUTOASEMA;104403;3598970;7321220;305
3425;KOUVOLA, HALLITUSKATU;155803;3483905;6750799;286
1888;KILPISENKATU;154836;3435071;6904528;179
4252;LAPPEENRANTA MATKAKESKUS;156590;3564716;6771605;405
4730;YLÄMYLLY OSTOSKESKUS, YLÄMYLLYNTIE;141511;3630932;6948105;426
5803;KLAUKKALA (NURMIJÄRVI);36527;3376046;6698893;543
7248;RAUMA LAS;30716;3204255;6792702;684
8320;SOTKAMO, LINJA-AUTOASEMA;102706;3567534;7115363;765
23;ALAJÄRVI;115614;3338863;6992752;005
87330;NIVALA;170110;3400277;7093811;535
7117;RAAHE LAS;170214;3379967;7178524;678
1107;HYVINKÄÄ LINJA-AUTOASEMA;113323;3382914;6726228;106
5569;NILSIÄ;24850;3554700;7011715;297
9124;TUUSULA LAS, HYRYLÄ;27852;3391492;6700596;858
426;FORSSA;31608;3316855;6749846;061
4801;LOIMAA;162603;3286054;6755081;430
10374;ÄÄNEKOSKI;23464;3434619;6944716;992
6673;PORI LINJA-AUTOASEMA;157535;3223234;6830320;609
2916;VEIKKOLA;27346;3357669;6687422;257
84160;TORIPAKKA;120777;3428028;7213842;564
4883;LOVIISA;28060;3457840;6705580;434
17819;KYRÖSKOSKI;32069;3297820;6846050;108
87921;TARINANTIE;162660;3533625;6996545;749
3279;KONTIOLAHTI;183461;3645647;6965454;276
8984;TORNIO;26172;3369832;7308987;851
2107;KAJAANI RAUTATIEASEMA;117253;3536030;7124710;205
6488;PIETARSAARI;162116;3287940;7070860;598
5393;MÄNTSÄLÄ LAS;185264;3408011;6726048;505
18572;KOTKA LINJA-AUTOASEMA;35221;3496809;6705667;285
735;HEINOLA LINJA-AUTOASEMA;161064;3448823;6788640;111
80065;LENTOKENTÄN TH LIPERI;111725;3635400;6950635;426
82084;VAAJAKOSKI, VESMANNINMÄKI;143566;3441309;6905221;179
1140;HÄMEENKYRÖ;31978;3298580;6842680;108
1567;IMATRA;154426;3595781;6788720;153
7967;KASURILA;179063;3535519;6994302;749
1835;JUVA LINJA-AUTOASEMA;22267;3545030;6865835;178
4017;KEMIJÄRVI LINJA-AUTOASEMA;26571;3519100;7403030;320
5944;ORIVESI;36713;3359980;6843870;562
4365;LAUKAA;112514;3445958;6923749;410
6364;PIEKSÄMÄKI;160895;3508795;6910610;593
3287;LEHMOLA;161337;3643466;6954617;276
3638;RIISTAVESI;162680;3559301;6979451;297
2387;KARJAA LAS;27007;3314354;6666787;710
4329;LAPUA;53489;3297744;6991635;408
82404;JO YLIOPISTO P;114085;3641162;6947542;167
84178;OYS, KAJAANINTIE;120795;3430327;7213495;564
7997;VUORELANTIE;162301;3535846;6986503;749
479;HAAPAVESI;170991;3420667;7116452;071
82396;NOLJAKKA;23672;3638470;6949920;167
4782;VIRKKALANLINJA-AUTOASEMA;27166;3333696;6679298;444
3091;KIURUVESI;103159;3481285;7061044;263
200173;KARHULA LINJA-AUTOASEMA;170016;3496620;6711617;285
2079;KAAVI;24254;3575204;6986606;204
6090;PAIMIO;28813;3263267;6712450;577
15218;KANGASALAKK;89666;3343897;6820815;211
7374;RIIHIMÄKI RAUTATIEASEMA;188712;3379057;6738133;694
5982;LINNANMAA;25942;3427832;7218591;564
81979;KESKUSTA (JYVÄSKYLÄ);154820;3435135;6904569;179
5671;SIURO;161823;3305013;6824003;536
19030;JO YLIOPISTO E;114086;3641245;6947395;167
10303;YLÖJÄRVI KK;136651;3319296;6832357;980
1352;IKAALINEN;169966;3291922;6857893;143
8765;TAMMISAARI LINJA-AUTOASEMA;53757;3301690;6657160;710
17026;OULAINEN RAS/MH;104536;3394508;7131718;563
10258;YLIVIESKA;117425;3380150;7110340;977
86040;SODANKYLÄ LINJA-AUTOASEMA;164315;3482605;7481312;758
18710;SUOMUSSALMI;170546;3590479;7199984;777
19918;GOLFTIE;179070;3534463;6995428;749
19754;AIKUISOPISTO;23632;3640766;6948395;167
9900;VIHTI;53809;3352798;6703568;927
87227;HAAPAJÄRVI;162033;3417036;7073380;069
104;ALAVUS;23551;3326293;6946954;010
3696;KURIKKA;35481;3264019;6954463;301
5199;OTAVA;113734;3504273;6837109;491
1031;HUITTINEN LINJA-AUTOASEMA;115505;3269019;6793054;102
8010;SIMO;38181;3410852;7286711;751
2645;KEMPELE;101056;3429493;7202520;244
5159;KIISKINMÄKI;114136;3513539;6841969;491
81978;JYVÄSKYLÄ KESKUSSAIRAALA;154867;3433144;6903409;179
15415;PÄLKÄNE;30997;3354010;6806600;635
16224;LAPINLAHTI;35985;3519910;7028730;402
6841;PUDASJÄRVI;170174;3499945;7251636;615
4693;HONKATIE;185743;3629932;6947952;426
16831;TÖRMÄ;23705;3637005;6950744;167
17055;TORNIO LAS;26170;3369831;7308967;851
8934;TOHOLAMPI;38617;3364565;7077567;849
15109;KAUHAJOKI;115440;3251192;6933754;232
87701;SAVILAHTI;155985;3532188;6975929;297
5868;NÄRPIÖ;36635;3208348;6942599;545
7434;ROVANIEMI LENTOASEMA;37805;3448136;7385647;698
2686;KERIMÄKI;53383;3620100;6869360;740
2678;ANTTOLA (KERIMÄKI);55582;3609966;6865862;740
5169;VISULAHTI;57183;3518399;6844159;491
73924;VALKEAKOSKI LINJA-AUTOASEMA;121375;3341051;6798689;908
82075;VIHTAVUOREN KOULU;153265;3443358;6918739;410
8045;NIKKILÄN LINJA-AUTOASEMA 1;185884;3404750;6697800;753
34612;VIRASTOTALO VIHANTI KK.;49565;3403659;7155560;678
5319;MUURAME;143524;3430866;6892319;500
4386;TIITUSPOHJA;160675;3440333;6912917;410
8383;SUOLAHTI;160928;3441183;6940449;992
1746;JUANKOSKI;174553;3567074;6996243;174
19728;YSTÄVYYDENPUISTO;23574;3641386;6947205;167
80053;YLÄMYLLYNTIE LEHTORANTA (LIPERI);111713;3632249;6948914;426
81291;LÄHEMÄKI;114227;3515654;6843250;491
15665;KANKAANPÄÄLAS;115490;3257306;6863608;214
82080;HARHALA;143872;3445356;6920101;410
88168;KESKUSTORI (TAMPERE);163371;3327743;6825332;837
3439;KRISTIINANKAUPUNKI;35301;3208658;6920425;287
5660;NOKIA LINJA-AUTOASEMA;156980;3313868;6824171;536
5655;LINNAVUORI;161814;3305853;6825714;536
4692;HONKALAMPI;161927;3629570;6948078;426
87319;KÄRSÄMÄKI;170031;3439397;7097828;317
1238;KURENPOLVI;173948;3497538;7056648;140
5414;MÄNTTÄ;22485;3375354;6882620;508
15757;VAMMALA LINJA-AUTOASEMA;31069;3281358;6810337;790
1685;JOROINEN KESKUSTA, KOULUKESKUS;33973;3543354;6897333;171
7872;MERTALA;38105;3602073;6863775;740
1951;TIKKAKOSKI TH;73733;3433204;6920418;179
9964;VIITASAARI LINJA-AUTOASEMA;144064;3442467;6997224;931
18375;LAPPEENRANTA KESKUSPUISTO;151983;3564303;6772731;405
85253;II PIKAVUOROPYSÄKKI, VALTATIE 4;152635;3424599;7248315;139
3893;OUTOKUMPU;153746;3603110;6959850;309
87295;KARHULA;155762;3496591;6711644;285
87922;KUILUNTIE;163026;3533442;6996833;749
4728;VIINIJÄRVI;177491;3614728;6950907;426
9231;URJALA LINJA-AUTOASEMA;186037;3313916;6779560;887
200172;KOTKA RUUKINKATU;186388;3497432;6706443;285
1973;JÄMSÄ UUSI LINJA-AUTOASEMA;22220;3405286;6863429;182
4710;LIPERI;23314;3623089;6938647;426
2773;KEURUU;34845;3380730;6908100;249
247;ELIMÄKI;53265;3469858;6734706;286
5176;HIETANEN;80698;3500478;6830402;491
3285;KYLMÄOJA;111812;3644566;6956247;276
926;UUTELA;31731;3492643;6824394;097
4977;TAAVETTI;36305;3530932;6757080;441
7864;KALLISLAHTI;81782;3584352;6868099;740
3580;KUIVANIEMI;97784;3416245;7280494;139
1829;HATSOLA;134506;3540769;6863708;178
1568;IMATRANKOSKI;154487;3595294;6785888;153
5775;NURMES;161476;3606568;7050662;541
3280;KONTIONIEMI;176055;3643514;6963138;276
88235;LAPPEENRANTA (KOULUKATU);185103;3564563;6772910;405
200581;TULLINKULMA;188749;3534564;6976799;297
4472;SÄÄKSJÄRVI TH, MOOTTORITIE (LIITTYMÄ 38);190754;3327278;6816552;418
6462;PIELAVESI;37128;3487810;7014600;595
46555;SAUKKOLA;74472;3332385;6700461;444
6580;PIIKKIÖ TIE 110;78643;3253159;6709706;202
5191;KOSKENTAIPALE TH;80743;3528847;6849357;491
5541;HALUNA;107482;3550990;7003694;297
3294;PAIHOLA SAIRAALA;112329;3650392;6956695;276
81735;VIRASTOTALO;114772;3642267;6947571;167
7745;SAHALAHTIKK;161664;3357837;6821542;211
17990;KAARINA;186200;3245421;6708776;202
978;SALPAKANGAS, VALTATIE 12;29834;3419719;6765072;098
6179;PARKANO;36835;3292140;6884520;581
10352;ÄHTÄRI;53843;3349644;6941644;989
3508;KUHMO, LINJA-AUTOASEMA;103198;3623185;7116566;290
3286;LEHMO;111797;3644379;6953633;276
81734;YLÄSATAMAKATU;114771;3642171;6947392;167
10301;VUORENTAUSTAKÄYRÄKUJA;139233;3319178;6829428;980
3313;KORPILAHTI;143411;3424842;6879704;179
2150;KALAJOKI;147412;3352272;7132565;208
18979;KAUPPATORI 1;154215;3363115;6767999;109
1189;OLHAVA;184101;3424859;7264097;139
87727;!!MIKKELIN MATKAKESKUS;;3514831;6842213;491
1645;HUKANHAUTA;23476;3643738;6945399;167
4673;HAARANSILTA;44483;3428150;7191746;425
7585;RUOVESI;53711;3346290;6878280;702
5828;PERTTULA (NURMIJÄRVI);75945;3373726;6705447;543
81903;JUKOLANPORTTI;115158;3643699;6950165;167
1726;JOUTSENO;117465;3581240;6779858;405
7851;SAVITAIPALE;161031;3536900;6787823;739
87332;PALTAMO;170150;3540672;7145335;578
7022;PYHÄSALMI;170175;3449785;7064951;626
2190;KANGASALA;34264;3344100;6820644;211
6872;PULKKILA;46651;3445150;7130106;791
5833;RÖYKKÄ;75963;3370994;6710683;543
1706;JOUTSA, MATKAHUOLTO;143596;3453230;6848691;172
87300;SAVON AMMATTI- JA AIKUISOPISTO;155935;3534414;6976094;297
16068;SUUPANTORI;157061;3321252;6822110;604
4153;LAMMI;170035;3392824;6776049;109
254;KORIA;170732;3478661;6748385;286
17009;MARJALANTORI;23691;3636807;6950398;167
4084;LAIHIA;24468;3247301;6995940;399
9031;TURKU SATAMA;28787;3237334;6712172;853
7373;RIIHIMÄKI LINJA-AUTOASEMA;29281;3378536;6738096;694
45547;SILTAKYLÄ MOTELLI, VALTATIE 7;73103;3485730;6709353;624
4953;JURVALA;80994;3541969;6760842;441
9479;VALKEALA;82874;3489181;6758886;286
4705;KÄSÄMÄ KAUPPA;111742;3620879;6950431;426
1510;INKOO;112266;3333365;6662766;149
81907;KESKUSPUISTO;115164;3641897;6947143;167
4813;HIRVIKOSKI (LOIMAA);115500;3281810;6758111;430
7518;VIKAJÄRVI;121806;3464819;7392646;698
16392;VEHMAA TH, SAVONLINNANTIE;171297;3542596;6866024;178
1303;TUOHIMÄKI;173963;3504290;7055814;140
7938;SIEVI KK;183694;3378208;7091981;746
1397;KOSKENKORVA;23965;3267486;6962326;145
1390;ILMAJOKI;24019;3274180;6966450;145
4377;PEURUNKA;53497;3443570;6925770;410
7191;RANTSILA;113408;3435824;7157278;791
82413;HIRVOLANVAARAN TH;116260;3617666;6950252;426
15147;LEMPÄÄLÄ KK;120011;3326267;6805005;418
6990;PYHTÄÄ;134766;3475163;6709086;624
3675;KUORTANE;146261;3322032;6971946;300
17094;YLÖJÄRVI MATKATIE;160164;3319364;6831490;980
814;PORVOONKATU, STURENKATU;185643;3386289;6677084;091
1353;IKAALINEN KYLPYLÄ;22119;3290230;6858500;143
2954;KITEE;22564;3664440;6891680;260
7727;SAARIJÄRVI;23868;3410950;6957110;729
2025;JÄRVENPÄÄ LINJA-AUTOASEMA;28358;3394913;6708652;186
1833;INKILÄ TH;32158;3531280;6851810;178
3015;KITTILÄ;34995;3411343;7509556;261
17380;RUUTANA TH;85179;3340395;6829150;211
5882;ORAVAINEN;93813;3268530;7030583;946
4108;LAITILA LAS;115538;3212100;6764008;400
87320;RANTAKYLÄ;135538;3510771;6841019;491
24003;LINJA-AUTOASEMA A;154169;3363046;6767744;109
5781;POROKYLÄ;161517;3604864;7052256;541
7963;HARJAMÄKI;162455;3530791;6997141;749
87761;KEHVONRAMPPI ETELÄÄN;179161;3533653;6990812;749
23148;YLÖJÄRVI URHEILUTALO, VAASANTIE;184361;3319182;6831833;980
3304;UURO;;3646139;6959946;276
10056;VIRRAT;22912;3332490;6908320;936
16034;SAIRAALA PKKS;23517;3642951;6946230;167
17680;RIIHIMÄKI  TH, MOOTTORITIE (LIITTYMÄ 19);29253;3376397;6736260;694
1587;JALASJÄRVI;33473;3281952;6938691;164
2244;KANGASNIEMI;34368;3481300;6875920;213
5823;NURMIJÄRVI(UL);36563;3379586;6707753;543
7654;REVONLAHTI;98454;3403253;7181647;748
3597;KALLANTIE;105644;3534361;6979066;297
5901;ORIMATTILA;105661;3431024;6744537;560
2621;KEMIÖ;116439;3263106;6680052;322
3440;LAPVÄÄRTTI;145846;3215685;6917220;287
88028;PRISMAN PYSÄKKI (SAVONLINNA);158494;3602734;6864653;740
82573;KANGASTIE LEHMOLA;162002;3643675;6954909;276
19926;VANHA-PAPPILA (SIILINJÄRVI);162665;3534278;6995665;749
7994;TOIVALA;162825;3536818;6987425;749
88169;TAMPERE RAS;163726;3328299;6825387;837
4861;LOPPI KK;170090;3360713;6737087;433
3418;RANTAHAKA;171446;3500371;6716584;285
5793;VANHAKYLÄ;177920;3601282;7052542;541
4496;LEPPÄVIRTA;23231;3541020;6932210;420
7868;LAITAATSILTA;38097;3596705;6864904;740
26160;SAVONLINNAN KESKUSSAIRAALA TH;38144;3597713;6864395;740
8949;VIISARIMÄKI;38639;3450009;6885583;850
6783;POSIO;53664;3553580;7335683;614
5242;MUHOS;74394;3452216;7190277;494
46502;LOHJANHARJU;74419;3347637;6692111;927
901;HIMANKA;93958;3337114;7111782;208
82223;PORNAINEN;126401;3410762;6708521;611
9333;UUSIKAARLEPYYN LINJA-AUTOASEMA;162125;3277865;7054498;893
87204;SOMERO LAS;162418;3309369;6729552;761
6294;PERNIÖ;171833;3285068;6683349;734
3288;LEHMOLA TH;175955;3643141;6955135;276
19755;AIKUISOPISTO;23633;3640743;6948402;167
192;VÄÄKSY;89034;3420912;6786220;016
81656;MUTALAN KOULU;114618;3643161;6948526;167
84181;HELLAAKOSKI;120798;3428098;7213492;564
9770;VETELI;146885;3340226;7045197;924
17238;MANSIKKATIE;161328;3646113;6940068;167
87039;VIERUMÄKI LIITTYMÄ, VALTATIE 4;169738;3442130;6778804;111
87791;MICROTEKNIA;181754;3532190;6976396;297
200136;SISUSTAJANTIE KUOPIO;186351;3534802;6978128;297
8566;SÄKYLÄ LAS;190851;3249176;6779812;783
19758;TEOLLISUUSKATU;23638;3642698;6948126;167
2421;KARKKILA;29059;3347183;6717064;224
24459;TERVAKOSKI TH, MOOTTORITIE (LIITTYMÄ 21);33739;3373231;6748073;165
9118;TUUSNIEMI;38857;3576233;6968243;857
1652;KARHUNMÄKI;111767;3644330;6943845;167
15585;MYNÄMÄKI LAS;115699;3226451;6740531;503
1081;HYRYNSALMI;116164;3571421;7176245;105
2713;TOROPPALA;135913;3616445;6868049;740
1573;VUOKSENNISKA;154399;3598731;6792166;153
7135;RAISIO;157872;3234547;6718129;680
4548;LIEKSA;161459;3651550;7027589;422
878;KEIMOLANPORTTI POHJ,;171191;3380847;6691241;092
1781;AHMOVAARA;174711;3631926;7001820;176
4689;AHONKYLÄ(LIPERI);177166;3609609;6953218;426
87760;KEHVONRAMPPI POHJOISEEN;179160;3533814;6990742;749
200406;AHROLA;186869;3300211;6840309;108
1662;JUKOLANKATU;23643;3644333;6948661;167
82412;TÖRMÄ;23704;3637013;6950716;167
1785;JUUKA;24967;3613392;7017369;176
10288;METSÄKYLÄ TH;31829;3314422;6833992;980
4934;LUOPIOINEN;36237;3374947;6808405;635
4794;KORIMESTARINTIE TH;93926;3325575;7097589;272
10119;VÖYRI;96676;3260854;7011973;946
4704;KÄSÄMÄ TH;106704;3621207;6949799;426
7975;KUUSLAHTI;107445;3539199;7003028;749
9870;OJAKKALA;125787;3356326;6698143;927
9842;KALKKIMÄKI;127884;3350172;6693474;927
2444;KARSTULA;144015;3388484;6976820;226
87558;LAURITSALA, KARJALANTIE;156570;3568290;6774130;405
3475;POHJA (KUHMALAHTI);161660;3377777;6821429;211
5855;NURMO;181222;3291793;6975884;743
7064;HAMMASLAHTI;185877;3653480;6928860;167
18113;KEMI LAS;185955;3388706;7295713;240
200193;KARHUVUORENTIE;186410;3492158;6708852;285
757;PAASO;30990;3460327;6806538;111
1695;KUVANSI VANHA 5-TIE;33991;3545786;6907507;171
5832;RAJAMÄKI(NURMIJÄRVI);36585;3376712;6715168;543
4305;LAPINJÄRVI;53483;3455626;6723376;407
10024;VIROJOKI KESKUSTA;53819;3538961;6719437;935
403;EVIJÄRVI;94859;3324444;7033934;052
1768;JURVA;96115;3242836;6963144;301
8309;POHJAVAARA;102252;3552468;7125426;765
2378;KYRÖ;115499;3268590;6739941;636
8464;SUOMUSSALMI KK;116208;3595065;7202045;777
9981;VILPPULARAS;117420;3369690;6882450;508
8963;KARUNKI;122537;3365313;7330142;851
1907;TOURULA P;154762;3435878;6905383;179
45982;KUOPIO TRUBENKULMA;156215;3534568;6976766;297
5662;PIRKKALAISTORI;157027;3314227;6823837;536
87948;ULLANAUKIO;161137;3619625;6869278;740
7992;SIMONSALO;162444;3534765;6997865;749
1464;IVALO;169967;3522316;7619564;148
87423;TAIVALKOSKI;170265;3557339;7276295;832
4729;VIINIRANTA;177484;3612267;6952486;426
2356;KANNUS;183787;3348657;7092440;217
5011;PETOLAHTI;;3216820;6982500;475
19746;YLÄMYLLY;23620;3630905;6948107;426
2388;KARJAA RAUTATIEASEMA;26985;3314420;6666628;710
242;TAALINTEHDAS;31361;3249320;6665410;322
7884;RANTAKOIVIKKO;38133;3594885;6865071;740
2523;KAUHAVA;53377;3300350;7005830;233
325;ESPOO IKEAN LIITTYMÄ, LOMMILA ITÄÄN;74416;3370472;6680530;049
46750;AHVENKOSKI;74676;3469398;6709564;434
5428;KOIRAKIVI TH;80662;3476810;6814190;588
5440;MÄNTYMOTELLI;80666;3478672;6814128;507
5459;VIHANTASALMI;80670;3483095;6814932;507
52693;LUUMÄKI MOTELLI;80997;3543652;6761407;441
9175;TÖYSÄ;94406;3336628;6951048;010
15157;VIITAPOHJA TH (VALTATIE 9);104614;3353068;6840808;562
6636;POLVIJÄRVI;111871;3620882;6974602;607
7164;PARKUMÄKI;112668;3579169;6871973;681
26252;SUONENJOKI;117383;3506610;6946570;778
87745;LANKILA HONKATIE;128007;3353276;6696288;927
4929;AITOO;138197;3365953;6805954;635
9904;VIIALA;139131;3326432;6793490;020
4371;LIEVESTUORE TH;143101;3457413;6905235;410
8980;RAUMO(TORNIO);151224;3374706;7308853;851
10226;YLITORNIO;151436;3351139;7362982;976
85196;II, LINJA-AUTOASEMA;152627;3424612;7248623;139
18376;LAPPEENRANTA MATKAKESKUS;156591;3564717;6771630;405
17982;TURKU KAUPPATORI T7;159141;3239763;6713869;853
5292;KOIVULAHTI(MUSTASAARI);162009;3240194;7016833;499
1924;JYVÄSKYLÄ LENTOASEMA;169991;3431990;6922745;179
3866;KUUSANKOSKI;170024;3479756;6755336;286
3617;KYLMÄLAHTI;172784;3546685;6981973;297
1636;TERVAKOSKI LINJA-AUTOASEMA;181826;3371137;6747426;165
87805;LANDBO LIITTYMÄ VALTATIE 7 SIPOO, LÄNTEEN;181868;3401072;6685445;091
1202;ETELÄNTIE;183119;3512015;7047558;140
9604;VARPAISJÄRVI;25186;3537950;7028640;402
6621;POHJA;27053;3306903;6670172;710
877;KAIVOKSELA VETOTIE, HÄMEENLINNANVÄYLÄ ETELÄÄN;27293;3382537;6685797;092
8069;INKEROINEN;29200;3491465;6731325;286
1668;JOKIOINEN;29366;3308971;6748882;169
1538;ISOJOKI;33425;3237380;6900130;151
2542;KAUSTINEN;53379;3335560;7053980;236
5728;NUMMI(NUMMI-PUSULA);53609;3328490;6702170;444
8917;TOHMAJÄRVI;53769;3673596;6906597;848
5132;MIEHIKKÄLÄ KK;73035;3538422;6729113;489
4362;KUUSAA (LAUKAA);93041;3445481;6928894;410
15092;VÄHÄKYRÖ;96623;3252875;7004151;905
112978;KESKUSSAIRAALA;114183;3514865;6842855;491
80800;HYVINKÄÄ RAS;117230;3382920;6726450;106
4783;VIRKKALANRISTI1,;127729;3333300;6678191;444
372;EURAJOKI;130694;3217020;6799526;051
9967;VILJAKKALA;138872;3302709;6849999;980
1171;MIEMALA;139397;3365290;6762812;109
87331;KONTIOMÄKI RAUTATIEASEMA;149168;3553975;7138216;578
87705;MOOTTORITIE KUOPIO ETELÄINEN;155878;3532154;6975119;297
18856;LEVÄSENTIE;155886;3532072;6973990;297
4441;KUUKANNIEMI;160354;3551208;6774443;416
8806;PYYNIKINTORI;163421;3326851;6825335;837
87065;LANDBO LIITTYMÄ, VALTATIE 7, ITÄÄN;169748;3401121;6685150;091
87242;TURENKI;169970;3372528;6759372;165
2173;IITTALA TH, MOOTTORITIE (LIITTYMÄ 28);169994;3347336;6779787;109
2082;LUIKONLAHTI;174998;3585124;6981225;204
4506;ORAVIKOSKI;176561;3531266;6942923;420
4722;SALOKYLÄ(LIPERI);177318;3627940;6944095;426
87928;KEIMOLANPORTTI ETELÄÄN;183434;3380780;6691037;092
6864;PUKKILA LAS;185750;3422467;6726970;616
10362;KONGINKANGAS;23979;3439262;6964667;992
2565;KEITELE;24770;3467453;7008717;239
85886;KUNNANTOIMISTO, KEMINMAA;26053;3387866;7302992;241
8360;SULKAVAN LINJA-AUTOASEMA;32199;3572548;6854104;768
1487;SAARISELKÄ;33395;3517743;7592912;148
1687;KAITAINEN TH;33977;3542022;6880647;171
4933;KYYNÄRÖ;36235;3382641;6812642;635
5704;HYÖNÖLÄ;53605;3331640;6709540;444
7563;TESJOKI TH;74661;3462278;6707341;434
18682;VIRTANOTKO;82492;3619438;6870979;740
202938;TEIVO VAASANTIE;86698;3321280;6829322;980
1972;JUOKSLAHTI;90502;3413469;6870972;182
18828;MÄNTÄNTIE TH;91083;3381829;6907474;249
68803;KIIMINKI PIKA;98512;3442831;7226329;564
468;PARKKILA(HAAPAJÄRVI);99442;3422075;7083654;069
7065;HONKAVAARA;106161;3656298;6929711;167
1795;NUNNANLAHTI;106264;3622695;7010651;176
18578;HELSINKI-VANTAA LENTOASEMA;115066;3387923;6691397;092
18656;OULU LENTOASEMA;121215;3423269;7204523;564
15683;KOKEMÄKI LAS;131528;3251073;6803013;271
87737;PULP;135266;3578401;6780632;405
5875;YLIMARKKU;144257;3216457;6957299;545
10287;METSÄKYLÄ(YLÖJÄRVI);160121;3315140;6833863;980
8285;KATINKULTA;160737;3560339;7117142;765
87226;EURA;161879;3237830;6789887;050
579;HANKO;162850;3274108;6641861;078
17079;NURMIJÄRVI TH,  MOOTTORITIE (LIITTYMÄ 13) ETELÄÄN;171767;3381561;6706988;543
8902;ONKAMO;172568;3662132;6915743;848
4177;ALAPITKÄ;176386;3527239;7011070;402
7277;RAUTALAMPI;178632;3490995;6946781;686
5303;SEPÄNKYLÄ(MUSTASAARI);185850;3232570;7012602;499
648;HAUHO;186150;3369069;6787205;109
19633;NIKKARILA TIENHAARA, VALTATIE 23;22995;3511718;6911368;593
8882;TEUVA, MIKKILÄNTIE, MATKAHUOLTO;23424;3229303;6942387;846
15550;VALTAKUNNANRAJA(TORNIO);26160;3369728;7308271;851
2261;LÄSÄKOSKI;34400;3495828;6867050;213
2294;VUOJALAHTI;34474;3489796;6873250;213
8099;SIUNTIOAS;38239;3346000;6672890;755
9310;UURAINEN;38947;3419599;6933842;892
6258;KOSKENKYLÄ;76689;3442865;6710255;434
5173;HARJUMAA;81409;3502609;6858635;491
7147;HIISMÄKI;81740;3568687;6874070;681
3362;KORTESJÄRVI;96919;3307543;7027999;233
3943;KÄLVIÄ;97241;3325813;7089297;272
6597;PIIPPOLA, MH;100180;3449994;7120187;791
7999;VUORELA TH;105858;3535955;6985589;749
17678;JOENSUU RAUTATIEASEMA;112246;3642707;6946988;167
5215;TOKERO;113713;3504973;6838973;491
6738;KILPILAHTI NESTE JALOSTAMO;115022;3419170;6689426;638
5734;PUSULA (NUMMI-PUSULA);125846;3334215;6710802;444
6695;JOKIMÄKI;129157;3410262;6703899;611
6954;HURISSALOTH;134505;3544368;6821409;623
25051;KOUVOLA MATKAKESKUS;155786;3484131;6750817;286
102205;KAUPUNGINTALO;156218;3534648;6976773;297
82118;KAUPUNGINTALO (RAISIO);157917;3234848;6718009;680
9817;VIEREMÄ;162828;3500259;7071234;925
9369;UUSIKAUPUNKI;163055;3196586;6756259;895
16536;MALJALAHDENKATU;169903;3534671;6976887;297
869;HELSINKI-VANTAAN LENTOASEMA TERMINAALI 2;170356;3387836;6691405;092
87926;NURMIJÄRVI TH, MOOTTORITIE (LIITTYMÄ 13) POHJ,;171766;3381768;6706979;543
